yomi,kigo_yomi
ハセンニウエタチタネノイチヂクツグ,イチジク
ドクサイノケムリマキツクコシオビノホッタンカビ,カビ
ウスカワノカギュウシロイイトナミヲススグロウバ,カギュウ
コオロギニクロイシルタメルバカリノサイミン,コオロギ
クライカワカラウズマクヘビトカルイハカ,ヘビ
ガソリンクサキオクジョウデネムルビョウシンノカモメ,カモメ
カラスノセキゴトニエイジノクビアラウ,セキ
オクジョウテラスデンコウノユキキシャモネムリ,ユキ
ウミノソラカマホソリホソリテマバラナアシ,アシ
エイジナクユキチュウノテッキョウシロクヌラレ,ユキ
レンガノニクアツキゲツメイツカレルキシャ,ツキ
ミチノハツオントガルリッキョウノシロイタケ,タケ
マッチコスルミジカイハシヲカニノイカリ,カニ
ガガムシリアウエキノソライスカタマルヨル,ガ
アカチャケタハムヘサケブロウジンガサムイキョクテン,サムイ
ショウジョノアシガトグクジラノヨウナセンイガイ,クジラ
サクラウクヨゾラシズカニセガハガレル,サクラ
ワカバアラシニチヲシゴカレテヒロバメザス,ワカバ
セオウカニザッシイチサツゴウカンノキシベ,ゴウカン
ドウコンナリレタスデヌラスヤコウノムネ,レタス
ワガシロアリミドリヲマドニコウジョウクズレ,ミドリ
ヨウテミキオスセイネンセンバンダイノカレハ,カレハ
リンゴヨロケルミズウミセンノススキベリフアンナショッカイ,リンゴ
ウミヲヨクルユソウシャコボレツグメンカ,メンカ
ブリノヨウニオスウシヒキズリニリュウノウマ,ブリ
トオクトンダシュシノフテイサコゲヒマワリ,ヒマワリ
ユウツキホソルソノキョクゲンノツミヲオウ,ユウツキ
ショウジヘデタカゲウズクマルタニンノイエ,ショウジ
アオイカニトナルボクラツメガナイタメニ,カニ
テツノタシカサデハザクラノイチヤノカゲ,ハザクラ
ゴガツナカバノナマリノクウボシントウク,ゴガツ
エンテンニナゲキヒトスジノボリショウユ,エンテン
ユキメガネソビラニカコヲナガシツツ,ユキメガネ
フユニハイルグウタラヤマノマロヤカニ,フユ
ハナアカリナカヌマブタガボケヲリ,ハナ
モゴコロニコトバコモラフフジノシタ,フジ
シオグモリマツノネカタノハナビカラ,ハナビ
モクバノセヌクシシュウジツハチチニニシ,シュウジツ
ツキヨノノツキナキカワラキテキチギレ,ツキ
サエカエルハカアワジオンナノツネタンザ,サエカエル
ナンジガメイバンリハルケキヲコイフチチニユキ,ユキ
ツガルイクシュウキゼゲンヲマエノシャソウ,アキ
ウミキリヒクキチホッケムラビトヲミズ,ウミキリ
ミゾルルマドアレノイカヒハタチテネム,霙
カリワタシキタミアオスクハッカアメ,カリワタシ
イカフネノジュズヒカキケスアキシュウウ,アキノアメ
ギャッコウノイカマンダラニアキノカゼ,アキカゼ
スナヒエノコンブヲタタムイチブラク,ヒエ
イカガナキコガナキミサキニフユセマル,フユ
ハマナスノシュキミホドノムネモヤス,ハマナス
ハクチョウニアキノハジマルアライヒソラ,アキ
ツキミソウボアントヒラキナニカシッス,ツキミソウ
フジノゲニンキテサリテクレノイス,フジ
ミズギヌグヤユウカゲマトフミズチブサ,カイスイギ
コウヨウヌククトバエノウサギゲンハレシ,コウヨウ
イシクレホトケヒシメクカギリフユアカネ,フユアカネ
モモサイテウスベニコロモノシンナルコ,モモサク
ムギノメノタシカナレツヘナルオシメ,ムギノメ
ハハナルイズシュンゲツノチチヲムセブホド,シュンゲツ
クラキエガワカキアカシノナツタサイ,ナツ
スリアシニヨルガキワナナクツキミソウ,ツキミソウ
ツキミソウミルマモヨワイニセメツカレル,ツキミソウ
コニイカガナヒトアラワレムユキノヨルノリンゴ,ユキ
オキムミョウアシモトニアオキマンジュシャゲ,マンジュシャゲ
マンジュシャゲコアラバジュウニイカガナコエ,マンジュシャゲ
トキカミナガシネムルヤギンガヲムネ,ギンガ
イワシグモウツクシキシヲヨルニチカイフ,イワシグモ
コガラシトマチノモッケイニセサンタ,コガラシ
シズムツキヲオウヒツジクサイノノヒトリ,ツキ
ハダカウマヲツナギハイキョノツキニキズアラウ,ツキ
ジュウサツオワルユキノヤサシイウシヲイレ,ユキノ
カルハハニイエルアオゾラニガイゲンゲ,ゲンゲ
ユガムソラノミツノツキオウセイボノサカ,ツキ
ニクヲヤクツキロケットヲツキニクダキ,ツキ
フユタノボウギイチゲキデタルアタマヲヨセ,フユタ
サカナヤクツマニホシシラトリトナリテサル,シラトリ
テツノホンリュウワガレイサイナアセマジリ,アセ
クチビルソロウカイショクノシマノスムオルガン,スム
トオイタビニニルゴガツノツカレタウミ,ゴガツ
リュウヒョウカワヲゴガツヘススムヨルノチエ,リュウヒョウ
ワガショウジョニオウキョウチュウノダリアクレ,ダリア
ヨクムツマヘコップノバラトアラクヨウ,バラ
アオカヤノクラガリキテキメヲツラヌク,アオカヤ
シゲルアシノネニオキシユビヨミガエル,アシ
ハカヲホルヒニクスグラレワカイハダカ,ハダカ
ニジクロクシタタリウネリキタノギョフ,ニジ
バンリョクノタニニヨイドレカラスヲウツ,バンリョク
クモガクビヤクウラカミハナヲモツトマコウ,ヤク
チヲデルマンゲツハイホウルイニワガミクレル,マンゲツ
トシユクオモサコヲユキグニノヨウニカザリ,ユキ
ホッカイノチジツノガケニユラレルヨワイ,チジツ
チノハヘンロノコトバトナルヘキガ,ロ
カリタヲノゾクキョウシャオノオノコリツシテ,カリタ
アメノナカデモエルホノオハモモノハジライ,モモ
ブツダンヤノタキビガラスニインカシテ,タキビ
ガンジツノヒグレトリワクジドウシャガッコウ,ガンジツ
ハマデハダカニナリマツノハナヨリワカイツマ,ハダカ
カンニスコシデテイタアオバヨルノレッシャ,アオバ
ヒルガエルハウラデボクノテジョウハズソウ,アオバ
カモヲキクヨルノショウチュウニクルミナラシ,カモ
セイカンノネコアリコンブホスババアリ,コンブ
ノウノキズナドマニツメタクオンナウスノツヤ,ツメタイ
フユユウバエメクラノツエヲハナレヌオト,フユ
ヨルノカワニサケノヤナマモルハナサラシ,ヤナ
サケショクヒシニッカンヨルノヒトヒラクモ,サケ
ヨサムノヒユルルモウマクシュジュツマツ,ヨサム
カミナリノシタセラレコクショクムシュウノサカナ,カミナリ
カミカリツテコニタカキソラボウフノコエ,テンタカシ
メツムリテミミミャクタカブルヨルノレイカ,レイカ
フクロフノモリノビキタリネカミヒク,フクロフ
ヒヲウシナフフユカイガラニテヲフレテ,フユ
ミャクトリテオンナノユビフユノクモウゴカヌ,フユ
メノウズキボツリヒノウズキユキリョウセン,ユキ
ユキノヨルノカベニトウガノエノヒカル,ユキ
メスニエテユキノハロカニクイウツオト,ユキ
ユリテトカスミソアセノミソサイクル,アセ
イネミノルマッカノウシハフンバッテ,イネ
ムシノオトヨリナガレデルミズニンゲンキテ,ムシ
クマヲマツヨルノサンミャクノトッタンニ,クマ
ミミブクロウシロスガタノチチバカリ,ミミブクロ
ウマヤトザスノハマッタイラナルコオリ,コオ
メノウズクセツレイノカラスナキサッテ,セツレイ
シツメイノレイカノネムリヒイロミキ,レイカ
カンゴフリョウツユノアカリトモスクソリヲルニ,ツユ
ハラリョククソリテダッケユクハンナツナリ,ハンナツ
ミソシルノエンドウニホフシズガノヒル,エンドウ
ガンタイヲダッレバギャッコウナルカンナ,カンナ
スズメトブエンテンクスリノミヲレバ,エンテン
ヤマイボケノイツカネムルニホタルカゴ,ホタルカゴ
コホロギヤビョウマドヨリハアカリノトドカヌ,コホロギ
イチジクハウレズニソラノガランドウ,イチジク
ミカンショクフヤマノボツリヒニホオアセシ,ミカン
ヒトハメノトロントタカフヨルノゴウセツ,ユキ
アオミツツシヅクスルユキツマカエル,ユキ
ツキハナシツキハナシヤシノミトオヨグ,オヨギ
トモニオヨグマボロシノフカボクノヤウニ,オヨギ
ショニチイマダエンカクバクハツアルナ,ショニチ
ニッコウノボウマッスグニユキヲマツ,ユキ
カンクモノナカヲクラシトオモヒツム,カンクモ
タオレルマデタイヤコロガルサムイクウコウ,サムシ
シッソクノリョウダントナリオチユケリ,リョウ
コウラクノナミタカキイケマタモハル,ハル
クギカッテデルヒャッカテンサイトウキ,サイトウキ
ミズウミチュウヨリワクユキテンニカエラザル,ユキ
クチアケテクチジュウノテンユキオリクル,ユキ
ヤワラカキウミノハンキュウクリスマス,クリスマス
テイジセイキョウシツサクラヘンアカリ,サクラ
カッチュウノフルキクウドウゴガツノヨル,ゴガツ
エンテンニエミヒヰルモノナキマツリ,エンテン
メシシロシハチガツジュウゴニチショウゴ,シュウセンキネンビ
コウカノソラソウギョウアカシアキノカゼ,アキノカゼ
ミキキノツヒニシヅカニフクアラシ,ミキキ
セミノアナアリノアナヨリシヅカナル,セミ
ワタリドリメフタツトンデオビタダシ,ワタリドリ
トウジョウヤマツアキノチョウノボリクル,チョウ
ヒロシマニロウジンショウズアキノクレ,アキノクレ
コボレメシカワキテベイヤイタキアキ,アキ
アキカゼヤカタサニヒワレジョホトケエム,アキカゼ
ヒナタカラフユノキボコリダレモシヌ,フユ
ツチクサシイキノビガテラネムルヘビ,ヘビ
フウセツヤツクルホトケヲカケツキツハジ,フブキ
オシウツルクモノマハリヲトリカエル,トリカエル
タネヲマキシュガヨビアウヨルノコウ,タネマキキ
ナマノオワリミエザルシチガツスギガタツ,シチガツ
ロウオットヒトリスイトアラソイナツアカツキ,ナツノアカツキ
モモサクヤスグニワスレルタニンノシ,モモサク
カタハイガハルマツナベショクノトリガトビ,マチハル
セルヲキテイショハイッコウニテタリル,セル
バンダイノナツカアットアリシトアリヌ,ナツ
ミドリフキアゲシサンミャクツマニナレズ,ミドリ
ジュヒョウリンオトコオウニハコキュウタリヌ,ジュヒョウ
ユキノヨルノヘヤピンウミノニオイモツ,ユキ
ヒガシアリボウロウガアルトウシタイ,コオ
リュウヒョウヤタソガレキテハホウチョウモツ,リュウヒョウ
オキテヤマヌカンシオダレノソウナラム,カンシオ
バラエンアリマンナカニロウバタチ,バラ
タカハタビヘオンナニミズノスキドオリ,タカ
ヒノコトブアサソラレイカチチイキヨ,レイカ
オウフクスルイカリノソクタツフユノトリ,フユノトリ
ゴツタガエスユキクツユキゲタワガモナリ,ユキクツ
タコトブヤソウキテチチヲウシナイキ,タコ
ニギリメシカバネヤクマノユキノフエ,ユキ
テンニツナガルハシゴユキフルオクニミユ,ユキ
フユノタカフタツミミモチイキノコル,フユ
ゴガツノフンスイニフレコノキザモウカエラズ,ゴガツ
リュウヒョウヲミニユクオトコヲマジエズニ,リュウヒョウ
ハンカチイチマイホスカミノシタノヨウニ,ハンカチ
ビョウレキガガランガラントフユノサカ,フユ
グンシュウイマヤチョウノハオトユキキタル,ユキ
オトコモノタツカンショクノカコヒロガリ,サム
ユキヲワリビキダスホドウモノイエヨ,ユキ
キヌノアカジニツカエイチニチカレガラス,カレ
ツララハハナマヒルヲネムリヨルヲカク,ツララ
ユキカイガワハハモノノヒカリオトコノコト,ユキカイガワ
ネツノヒノフンスイシブキトリトナル,フンスイ
カンプウニコエカケユクハボウフナラム,カンプウ
アサノタキビモエイテムチノオトタテル,タキビ
ミミノハイゴニダレカタツタビセツフリテ,ユキ
タカトンデアサウミムスウノハリナガレル,タカ
ロウバクレバマタロウバクルフユミサキ,フユミサキ
ヒビキアウフユトウオンナトエビノヒゲ,フユトウ
トンネルノオグラサユキヨルノネムリニモ,ユキ
ホゴコウヨリワガナスックトフユヒザシ,フユビ
ハクチョウノムオンノサムキハネモラス,シラトリ
バイブンカクメクソハナクソフユレモン,フユ
シヌモノハシニコイネコノアマエゴエ,コイネコ
アサギリノアオキナカナレバイイヤスシ,アサギリ
フミキリノアジサイユラグヨルノソコ,アジサイ
ブランコトマンノハカイシヲコエルアケボノ,ブランコ
トカゲカナシカワカレハテテオドリダス,トカゲ
タイヨウヘユキタシカラシノサカヲノボリ,カラシ
コウアタマノコブフトオオキクナルウスカゲロウ,カゲロウ
ハハギラツクミズギワヲシカノムネヌレ,シカ
テンノカマエチノカマエスリヌケルハクチョウ,シラトリ
テツバカリイキスルクカクニキリヤスム,キリ
オドリタイヘビヨダレノウデニモシュトウアト,ヘビ
シシャツイニワレトヘダタルマンジュシャゲ,マンジュシャゲ
ヨワキサイイケドカタガワヲミドリノモリ,ミドリ
ユキノヒトカゲノボルブルコトナキアサノエントツ,ユキ
スイミンヤクノナカダイイタドリヲカミチギル,イタドリ
ヒガサチルタテハヨコヨリナガキコウイショウ,ヒガサ
クルミワレルチカラコブシテシナンカナ,クルミ
ゼンシンデヘビシニユクヤアマデラヒエ,ヘビ
グンシュウニカビハンショクシハカマイリ,カビ
アキノジュスイガンキュウニワカキサカナササリ,アキ
ヒヤウミヘコギデテキシニドンカクミツ,ヒヤウミ
チョウヲタタムジュヒョウノナカノデンワキ,ジュヒョウ
ユキヲニギルジュウゴサイホドノサメタマユ,ユキ
ハクメイノチチヨダイミズウミヒョウカイヲダカサネ,コオリ
サンガツノクワハタノボルオトコゲタ,サンガツノ
アオウメヤズブヌレノヤマスグソバニ,オウメ
カゼガデテアカリノデンシャユクキョウチクトウ,キョウチクトウ
ドヨウナミユウヒノチカラマダノコル,ドヨウナミ
タビノコトナドハクトウノアタリニムネヲオキ,モモ
ショクジュサイヒルノヒグラシスイユクゴト,ショクジュサイ
ヒグラシハスイミャクノヒカリノナカニハイル,ヒグラシ
ラクジツノナカクラクラトナツサレリ,ナツイク
ウマガヰテコップノナカモユウヤケヌ,ユウショウ
タバコノハナカイサツグチニコドモノヒトミ,タバコノハナ
ミノウチノシロサルスベリタビノアト,サルスベリ
ドングリノヤマカラヤマヘユウヒノグンカ,ドングリ
ススキノソライクサヘシメガオオキクアリ,ススキ
クウコウチカクミカンニサンノヨルノコク,ミカン
クリスマスオワリヘシモミノキオサナナカリ,クリスマス
トシウゴキツツアリチラバルカコウノアカリ,トシウゴク
ミカンヒトツヲサンニンデショクフヤチュウノスギ,ミカン
イキヒトツヒトツモチキルチチノヨル,モチ
ガンジツノマブタアカルクマタネオツ,ガンジツ
ミズモチヤドアラアラトクレニケリ,ミズモチ
アオゾラニウモウノツキデテナエギシ,ナエギシ
ナスビナエノドヒトニギリエンユルソラ,ナスビナエ
ボツビイマナツミカンイロガラスハコブ,ナツミカン
タキノウエニナニミテヰルヤオトコトシテ,タキ
ナツノヒガチイサクナリヌムネノナカ,ナツノヒ
ナマクリヒトツセキジツノヘイメヲヒラキ,クリ
センチュウニミシイワシグモケッショウス,イワシグモ
ニワトリノニクショクヒテシワスノクモバカリ,シワス
カゼガタタクオクジョウノドセイヤキテ,セイヤ
チトオクタツニシソラノミドリノキ,ミドリ
カワノヤウニオノレソダテヨナツヒャクニチ,ナツヒャクニチ
クモノウエノヒハヒルムギノカラレユク,ムギ
メノナカノユウバエミガカレツツクレヌ,ユウバエ
スギノマノヒグラシゲザンノイキホドニ,ヒグラシ
ヒガノボルダイサルスベリニオトコキエ,サルスベリ
ススキヲデテヒトノウコンニカゼノナカ,ススキ
ヒグラシスギフウノゴトキガノドトホル,ヒグラシ
ウサギノヒトミハドコミテヲルヨダッコクドキ,ダッコク
ベタベタノカキタベユウヒオチシソラ,カキ
ブタドモハコトバアルゴトフユビオス,フユ
タノコラニハンテンノコンツメタカリ,ハンテン
ヨノメノカゾクアオカキガラスゴシ,アオカキ
エンテンヤカオトオクシテスギニタツ,エンテン
カキイロノカキノイエマデオドリオドリ,カキ
サンガツノカミデツクツタウラアケル,サンガツ
クサノナカデワレラホウソウシテイルナツ,ナツ
ヒツケシテカエルホオズキガオモチヤ,ホオズキ
ヤワラカニセンセンマガルツルノシタ,ツル
ツマネムラセヘヤチュウニタキオトシミル,タキ
アジサバカウカゼノカタチハノマチ,アジ
ツキトウサギトワガヤアカルシワナアルトチ,ツキ
コキュウサビシハシラトアオバノキガツツタチ,アオバ
イチサツノナツノハジメニネムルツル,ショカ
ツキヨヲスベルオトコホシガルフエタイコ,ツキ
イチョウユスルワガマチニキタイヌトリト,イチョウ
ハハヲスエフユビヨリコキミズナガレル,フユビ
アイゴマジルヤミナガレキテツバキノカジ,ツバキ
サイウニヒカルワルイオトコノシオヒカリ,シオヒカリ
カゲロウウテツギニハハサルシラカベヨ,カゲロウ
ウララカニツミフヤシイルカンノハナ,ウララカ
マッタクサビシビルガイニホチュウアミアラワレ,ホチュウアミ
アオダケヲタバネユウゾラシニチカヅク,アオダケ
ランオウニチノイトグチツナガルアオタノヒエ,アオタ
ソレモシゴマタグラクラキボンオドリ,オドリ
ハキツカレタセイネンガサエユヨルノセミ,セミ
ツルトナリシュウダントナリハイゴキエ,ツル
ミズニスクカンリンキリストノムネヨワシ,カンリン
ヒバリノヤキカンニアルノゾキマド,ヒバリノ
バラバラナユビノホウコウアオタモシヌ,アオタ
ホウムルヨルノシダハラスデニヌレテマツ,シダ
ゲツメイノシシャヲハギタルアオダタミ,アオダタミ
イシニョウリソコカラヌレテネギノハナ,ネギノハナ
ウシナイテヨウテツキヨノオノフルオト,ツキ
ザンショノハハラスギナエニナニヲキク,ザンショ
ブンサンスルアシガタノシゴカリタノアカリ,カリタ
ノコツタシャラニガビョウタダヨウツキヨノイエ,ツキ
ボウフノヤミモミナラシツツサムガルテ,サム
オンナセキデンチュウノウエツヅクナリ,セキ
ヒマツリウツストウハンナカバノハクハツニ,マツリ
ナノハナガヨゾラササエルバッシイゴ,ナノハナ
チチハハカスムミミナルヤマノニギリメシ,カスミ
ウスガミニハクトウツツミモノアカルサ,モモ
ヨワサバカリモミガラヲセメツキヨノカ,カ
アメノオキヘケサレタモノラソラマメサク,ソラマメサク
フユコウノサギヨリクレテハクハツスム,フユコウ
シラカベゾイニヒアタルカシツマンジュシャゲ,マンジュシャゲ
フコオミズウミニユキケブラヒテヰタリケリ,ユキ
ドンゾコニホシシタタカナフユノミズウミ,フユ
アオグソラベツリサダカニフユノニジ,フユニジ
ヒトトキハハロウノヒセツヒビキケリ,ユキ
エンエントビトウフブクヲツイフバカリ,フブキ
シハブキハチチカユキヨルノミミシビレ,ユキ
ツマノダマミトリツカレガアツニウケリ,アツ
リョクインノケダルサニウムモフクツマ,リョクイン
ウスメシテアセバムシシャヲウベナヘリ,アセ
ジャガイモノハナトオキミネノユキイチル,ジャガイモノハナ
ハマナスヤウシノセゴシノキュウリョウド,ハマナス
エンテンノレンガカンゴクフリテヰシ,エンテン
カザバナノカカルモノアカリヲアタタメン,カザバナ
ゴゴスデニマツバノトガルヒナタボコ,ヒナタボコ
トツクリトキリニツカリテシマヒケリ,キリ
フツクワハナアカシコジョウノトウハルカ,フツクワハナ
サルビヤヲフミニジリテハシュニオボレ,サルビア
オウテンシャミカンシュニシテミタルカナ,ミカン
ボツビノススキカガヤクカナタエンムトシ,ススキ
エンマクニアヘグカレキトヘルメット,カレキ
ハシコガラシボウソウノアカリノホシメザス,コガラシ
クチベニノクチビルメクレヰテアキノミズウミ,アキ
フユハニミイラレシゴトカタクナニ,フユハ
ハレバレトカンタマゴカエルベシ,カンタマゴ
フリカカルモノミノフユカミズノウエ,フユ
キスイセンコトバハガネノゴトヒビク,キスイセン
イチクサムラノキキクニヤマキヒソミヲリ,キク
ヒトアレドモノトイハヌナリホウノハナ,ホウノハナ
ドウルムアワクチニウクハナノカゲ,ハナ
ノビハシリツツワスレヰルイカリ,ノビ
ヘイザンノチヲナメテトブツバクラメ,ツバメ
スズカカノナミキシュウジツニトガルヘイワ,シュウジツ
ワガミシハアキツノグンルルミズウミノニジ,アキツ
ヒトノウズナガレマスクノナカノコキュウ,マスク
ハクセンヲトオミニムツムツバクラメ,ツバメ
アカリノクマニアキサメヒソメリフカクフル,アキサメ
ハナアンズユキオレノキズシラミタリ,ハナアンズ
ツユグモリリクノシヒョウトナルコウロ,ツユグモリ
トシフワクイシノナワアトメブキタリ,メブキ
ビツシリトジュウフヨルニウクモモノハナ,モモノハナ
ゴウオンノウズヒヤヤカナシシャノエミ,ヒヤヤカ
キリニマギレジュウコウギョウノツキダスイ,キリ
コウモリノヒグレアワダツデンワボックス,コウモリ
ヤクソクノチヘシロキヘビウネリカグ,ヘビ
クズノハノシゲミニカヤクコウジョウノアカリ,カズラ
ケイトウノヒヲツケテイルシソハタケ,ケイトウ
シンヨガトオルクルマデトオルシイノギオイ,シンヨ
サイマツノロジョウチラバルマッチノジク,サイマツ
ボタヤマヲコエルデンチュウユキキツネ,ユキキツネ
ユキガオリチズニナイミチアラワレル,ユキ
シダシゲルホウロウシツノジョガクイン,シダ
ラニスクワニガワノアミダケイ,ラ
ユウヤケコヤケダレモカカラヌクサノワナ,ユウヤケ
セイシンカノソラヲコトリガアルキマワル,コトリ
ユキノシタズイショニサケリザンゲツキ,ユキノシタ
アオアオトチヘコシスエルサンショウウリ,サンショウウリ
クリカラモンモンフユノキンギョハサカダチニ,フユ
ケブルハハサトイクタビセリノニオイタツ,セリ
メクラユキエホンニシゲリアウヤサイ,ユキ
ユキヲホルソラニパセリノモリヒロガリ,ユキ
スベテオンナノシシャトオリカグワガウミシ,ウミシ
ムネヤケノオボンスタスタヒトスギユク,ボン
チチシンデヤガテハハシヌムギコガシ,麨
フルサトノユキニウズモレテクチヲヤク,ユキ
ザツキヤマユキトメドナクトリナカス,ユキ
シダノシズケサウミベニハエルカガクコウジョウ,シダ
ニチショウショウジョギョヲショクハネバカハキヲリ,ニチショウ
アリジゴクサレキハカカトヒキイレツ,アリジゴク
ネッサヒエボシカンニウオノメヲオモフ,ネッサ
カラモモムラモモニショウハナノノミノアト,アンズ
ツカレタルニシビノカオハラクダカナ,ニシビ
ネッサユクムゲンエックスラクダノアシ,ネッサ
タマネギノジュクスイオンヲタテズサル,タマネギ
ヒヨドリノコヱショウエダヲオトシユクゴトシ,ヒヨドリ
ショトウノヲンナノミミハナミダツボ,フユ
ベニケブルフユノリンゴヲカクシモツ,フユ
イセエビノシノキョクセンヤアブラギル,イセエビ
ハツセミノセイテンニシロカゲボウシ,セミ
アオカキヤケショウシテカオクシカリ,アオカキ
コトシマタナニミテアワシゴウカンノハナ,ゴウカンノハナ
アカアカトユメニメンウツバンカカナ,バンカ
マンゲツヲサスエンピツヲヒトニチトグ,ツキ
クリノハナゼックシテミノアツキカナ,クリノハナ
オボロヨノハハヒラカナノヤウニオイ,オボロ
トオセツレイオコリシアトハハガユルム,ユキ
コウモリトブハカイシノカクヲワスレシメズ,コウモリ
ハクトウヲオモヒテネムルスナノマチニ,モモ
アラウミノキスチョクセンニヤカレタリ,キス
ハツショコウチキュウノメグルオトガスル,ハツショコウ
アカリノナカニアカリノソダチオリヤハンノハル,ヤハンノハル
カメノナクソノヒトコトヲキキモラス,カメナク
カゼニクモトバシテヤマノワライアウ,ヤマワラウ
ヌギステノクツスネテイルハマヒガサ,ハマヒガサ
サンジゲンニハオサマラヌナツノユメ,ナツ
ネマチノツキユメデウラガワノゾカセル,ネマチノツキ
ウリミノショウタイミタリモモノシン,モモ
トオミネノカゼノタヨリニフルコノミ,コノミ
マッスグニシコウコウサクスルカンリン,カンリン
イナヅマノノニニコゴリノヌマヒトツ,イナヅマ
ボツビミルイヌイサケノクチチニタテテ,サケ
ワラビツマムババカワラビカホネノオト,ワラビ
オトメツバキモウオワリタキサビノウズ,ツバキ
トハノコキョウヨアケハニワトリノアシコオリ,コオリ
イヌイサケノセボネニフレテハヲススム,サケ
フユネコノネムリノウズノナカニミミ,フユ
ハナビノヨルショウネンノクツエダニササリ,ハナビ
イナヅマノヨルノカガミチュウハヒガンカナ,イナヅマ
タソガレノムヌイノウミヲカリワタシ,カリワタシ
ヒナケシハヒノナミダツボダザイノイミ,ダザイノイミ
ネツノナカナガレコヌシロマンジュシャゲ,マンジュシャゲ
ハクトウニキノウノユビノアトノコル,モモ
ハナヒヤシヌマデホウチョウノエヲニギル,ハナヒヤ
ハナチルトゲンヘドハラヘルカナシサヨ,ハナチル
ニワトリノマルショウマハリテントウユキフレリ,ユキ
ヒキガエルナクヤカフカハワレヲオキザリニ,ヒキガエル
ナツニオイトウガイチヂマルウミヘビホシ,ナツ
ダブダブノナツアンコウノユクエカナ,ナツ
イチドシヌフタタビキキョウトナルタメニ,キキョウ
ナガレルルハハルタツミズカマクラトウカ,ハル
ハルヤマノイロニキエタルホウキウリ,ハル
ユウザクラヤナミヲハシルモノノケヨ,サクラ
アカネサシテワガシハジマルクモヤアキ,アキ
タカヲハナチテタカトナリタルアキノヒト,アキ
ノニアレバドコカガイタシクサヤクヒ,クサヤク
モモノミノマヒルハヂラフニギワイハヒアリ,モモ
チチハハミショウイゼンアオネギノユメノイロ,ネギ
アヤトリヤコトリゴロシノハルノユキ,ハルノユキ
ツタモミヂシンガトウツテユキニケリ,ツタモミヂ
コイシンデボシュンノオトコカワキケリ,ボシュン
ナガキヒヤカスミニトリヲヌスマレテ,カスミ
ハマユウヤアニハナガレテオトウトモ,ハマユウ
アオアワラハハハトミレバアシナリケリ,アオアワラ
ハハノイミノソラセミヲハハトオモヒハツメシ,ソラセミ
モモノヨハソダノヤサシキヒナリケリ,モモ
カドビタクヤアマタノチチラヌレテタツ,カドビ
チチノオクニユキオリコモリウタトオシ,ユキ
アシタサムキズジョウヨイボシハタラキボシ,サムキ
コウカンノゼンアククマレフユノクモ,フユ
ユキフルヤシハアタタカニミギヒダリ,ユキ
ブキヨウナテガウゴキイルハナグモリ,ハナグモリ
ミミナリノイチニチクレルフジノハナ,フジノハナ
クモルヒノサイハタケアカリテキミカタ,サイハタケ
テガヨイテオドルイキイキメイノクニ,オドリ
ホノオヒルニカゲヲエガキテヒッチュウヨ,ホノオヒル
キシガンノアキヤヒノコガクダツテイル,アキ
チカテツノマガルトキミルフユノヤミ,フユ
トオヒガタオニガヒヲタクマヒルカナ,ヒガタ
ユキノシタスコシクラヤミマゴヒマゴ,ユキノシタ
ヒルネザメアシウラニアルチチノハカ,ヒルネ
ハルヤマノスソヲケシユククスリウリ,ハルヤマ
マナジリニキンゾクシズムフユタカナ,フユタ
ユキクレテタタカイオワルカミブクロ,ユキ
ボウリョクヤオトコトキドキバイリンニ,バイリン
レイボウニテットウヲケシフリカエル,レイボウ
アクノヒグレノキョウチクトウジュウカブ,爽竹モモ
キョウチクトウリンカンザイノアワレカナ,爽竹モモ
ソウガクノテンヘシゲレルイモノ,イモ
ヒトリコノボウシダツワルムギハタケ,ムギ
カオシロクゲンダイクレルアキノヤマ,アキノヤマ
ミミクレテウメヒトエダヘアヤウキテ,ウメ
ミズナジョウヘフタゴワカレノウメアカリ,ウメ
アワモリヤオイテハミユルイタチドウ,イタチ
ミノゴトヤカレイチオクノミノムシユウジナリ,ミノムシ
ゲンゴウノニツマルニオイカズラノハナ,カズラノハナ
テブクロガタッテイルナリイヌジニアリ,テブクロ
ハイヲツカンデハチガツハイニナリイルテ,ハチガツ
ジュウノオモサツマサキヘクルユキトウゲ,ユキ
ヒロシマノヒノビックエッグジンヲクウ,ゲンバクキ
シグレツツアジアノニオウメンノシャツ,シグレ
カレハカレハダイトウリョウガキマラナイ,カレハ
テイコクノヘビノシンチョウキッテミヨ,ヘビ
ダイトウリョウノクチカラハエテマンジュシャゲ,マンジュシャゲ
ハツユメノリョウカワノホトリイナナケリ,ハツユメ
カラクニノゴタイネジレルシグレカナ,シグレ
フユギンガナルハアンヒサシノムカシヨリ,フユギンガ
ヒジョウジヲムキトオモウヤウイテコイ,ウイテコイ
ウミユカバオヨイデオヨギキレヌナリ,オヨギ
ハラカラハハカハラニニルバンカカナ,バンカ
ロマンスヲオボロヅクシニフクラマソ,オボロ
ムサシノノハシツコニヰテフユキンギョ,フユ
ヤマヤマノエミヒメガケテユビテッポウ,ヤマワラウ
クサブエニボンヤリチヘイムキアヘル,クサブエ
ヒヤシバボショクノナカニメヲヒラク,ヒヤシバ
ソウシュントハミジカイエンピツゼンジユウセキ,ソウシュン
ウメサイテネコゼガチナルワレハヒキャク,ウメ
チチカタノソノチチカタノウメシロシ,ウメ
