parsed_kigo,parsed_haiku
雪,李白 思え ば すぐ 酔う 雪 の ひとり 酒
水仙,卓 の 水仙 灯台 に し て 辞書 を 操る
冬 の 滝,まばたけ ば 冬 滝 一 本 の 火 ば しら
芽吹く,孤剣 に 似 たる 筆 一 本 も 芽吹く 日 ぞ
ち ちろ,ち ちろ 一 と 鳴き し て 止む 草 魂 の 淡し
萩,萩 散る や なんとも 不憫 な 酒 の 空き 瓶
葡萄,力山 を 抜き 葡萄 新酒 の 栓 抜け ず
水無月,天 安から ず 水無月 の 水 血 や 虹 に
福寿草,福寿草 福寿 の 母 は 黄泉 に あり
薔薇,酔う て 脳死 の われ に 供花 めく 薔薇 の あり
人 日,地球 に 玉乗り し て 蹌踉 め ける 人 日 なり
薔薇,善戦 の 敗者 が 佇て り 風 の 薔薇
金柑,蕩児 に 似 たり 吐息 ぐもりに 金柑 愛 で
おぼろ,三 代 以前 は おぼろ の 家系 地酒 で 祝 ぐ
リラ,白黒 時代 の 巴里 に 行き たき リラ 冷え ぞ
春愁,ボード レール の レール に 春愁 光 りつ 去る
口 無し,口 無し 咲かせ て 無党派 なれ ど 夜 は 左傾
露,地球 を 大きな 露 と 思え ば 死 も 易し
芒,黄泉路 の 路銀 は 芒 一 束 斬れ ば 足る
白鳥,オリオン へ 白鳥 浮き 寝 の 夢 明り
虚子 忌,八 十 の 若輩 虚子 忌 を 孤 酒 に 哭く
石蕗,石蕗 の 黄 の 一句 一 刀 光れ ば 良し
冬空,冬 青空 音信 不通 という 遊び
蓮 の 葉,蓮 の 葉 も セーラー 襟 も ひるがえる
花水木,花水木 身体 ひとつ 海中 に
夏 岬,夏 岬 手足 簡単 に すれ違う
冬 の 鳥,鬱 なれ ば 地図 の 旅 し て 冬 の 鳥
梅林,梅林 や 超 低空 で 飛ぶ にわとり
野焼き,智恵 深き 者 集まり て 野 を 焼け り
毛虫,あかつき の 機関 車 と なる 大 毛虫
柚 風呂,柚 風呂 や ためらい も なく 天動説
白萩,少年 の 白萩 かつぐ 祭 か な
野火,火事 か 野火 か 母 が 一 人 の 真昼 なり
春,浮雲 に まんぼう 飼う も 春 の 夢
灯火 親し,灯火 親し 鯨 絵巻 に 白 波立つ
ぬかご 飯,ぬかご 飯 水辺 の 母 は 跼ん で い た
二月 礼者,鈍行 の 二月 礼者 と なり に けり
冬,冬 が 来 て 隣人 黙っ て 木 を 倒す
紅葉,阿武隈 山系 紅葉 を 走る 朝刊 あり
春 浅し,春 浅し 無 敵 の 動物 ビスケット
虫,虫 の 夜 の 空気 に 少年 の 家 あり
流 燈,湖 の 流 燈 去ら ず 去り 難し
蛇 の 皮,漂泊 や 綺麗 に たたむ 蛇 の 皮
初 蝶,初 蝶 の さらり さらり と 紙芝居
蛍,蛍 み て いる もう 魂 と 思わず
地虫 出 づ,口伝 の よう 白壁 明かり 地虫 出 づ
冷え,金色 堂 たま し い あれ ば 底冷え す
ふところ 手,ふところ 手 し て みる かぎり 家 も
霧,山 棲み の 霧 の 重た さ 水 の 濃 さ
驟雨,老 犬 が 見せる 驟雨 の よう な まなざし
花火,若き 日 の 無頼 に かえる 花火 の 夜
雲 の 峰,雲 の 峰 父 を 壊し に 行く 少年
紫陽花,ふるさと は 耳 に 紫陽花 咲かす 馬
白桃,死 な ば 戻る か 白桃 の 胎内 に
秋 蛍,秋 蛍 閃光 を 売る 六本木
鮎,鮎 のぼる 土着 の し ず けさ 妹 たち
ふくろう,ふくろう よ 癖 という 字 に 病 だれ
みやま おだまき,母 が 路上 に 薄れ ゆく みやま おだまき
蜻蛉,塩 の 道 かも 怒鳴り たい ほど 蜻蛉 澄み
芹 な ず な,母 と い て 銭 使わ ず に 芹 な ず な
しろ さるすべり,しろ さるすべり 咲い て 視野 狭窄 わたし
揚羽蝶,金管楽器 に 黒 を 散ら せ し 揚羽 か な
冬日,夢 醒め て 冬日 の 藁 で あり しか な
かまきり,かまきり 誕生 天才 なれ ば 透明 に
八月 の,八月 の 鯨 は きれい な 戦車 だ な
桜 時,人声 の かたむく もの に 桜 時
菜の花,菜の花 畑 扉 一 枚 が 飛ん で いる
えご の 花,えご 咲く や 神 々 路傍 に 抱き 合 ふ
こおろぎ,鉄 の なか に いる こおろぎ を 削り けり
烏瓜 の 花,烏瓜 の 花 見 て しまう 怪しき 白 毛
菜の花,菜の花 や 月 の 彼方 に 地球 浮き
夏 兆す,墨痕 の よう に 野島 断層 夏 兆す
夏 落葉,夏 落葉 しんしん と 子 に ことば 満つ
花 柘榴,暗がり に 花 柘榴 キリシタン 刑場
お ほ むらさ き,お ほ むらさ き 翁 は ふい に 泣き に けり
啓蟄,啓蟄 や 兄 の 戦艦 浮上 せ ず
昼 花火,ふたり 住まい は 透明 な 箱 昼 花火
菜の花,菜の花 の 沖 へ 羽 もつ 馬 で あり
夏,夏 嗚呼 と 嬰 の 尻 ぺた 洗い おり
ねじ 花,ねじ 花 科 床屋 の だ ん だら の ねじり 棒
天の川,天の川 ごらん 真 西 に ぽ る とがる
熊 ン 蜂,草むら は 立憲 君主 国 熊 ン 蜂
氷菓,くちびる で 繕う 氷菓 日本海
緑 夜,緑 夜 漂う 方舟 見え て わたし 見え て
リンゴ,スペイン 語 は いい ね 旅 の リンゴ なり
藤袴,うたた寝 は 父 の さすらい 藤袴
遠 花火,眉根 と はや はら かき 遺棄 遠 花火
姫 はじめ,姫 はじめ 以後 やっかい な 美学 か な
ハンモック,ハンモック 少年 の よう に 撓う か な
花 楝,花 楝無 人 の 島 四 ・ 五 個 散らばる
黒 南風,黒 南風 や 声 の 輪郭 模糊 と 人
息 白し,息 白く 両手 に ゴミ の 家長 か な
夏 落葉,夏 おち ば わたし の 眼窩 に も 触れ た
黄葉,ポプラ 黄 に カフカ 全集 漆黒 なり
落葉,我 思う ゆえ に 落葉 に つま づけ り
雨乞い,男鹿島 よ 石 に 泥 塗っ て 雨乞い
銀 木犀,放埒 は 銀 木犀 の 花 に 始まる
初荷,白山 に 初荷 ひらく を 見 られ い し
白木 蓮,白木 蓮 ガス 燈 ほど 寝息 たて て
片 陰,片 陰 の ゴリラ 助走 を くりかえす
若 菜摘,若草 摘む わたし 旧姓 野上 です
菜種,風葬 の 村 さやさや と 菜種 刈る
陽炎,陽炎 や 巨岩 そのもの が 舟歌
朝 桜,父 より こぼれ つぐ 飯粒 よ 朝 桜
無月,無月 か な 禅 坊主 に 鼻 捻ら れる
金 縷梅,匙 なめ て 金 縷梅 圏 といふ ところ
夏至,孫 マリア 北 に 嫁ぎ て 夏至 祭
雪 解,点滴 の 源流 あたり 雪 解 か な
黄葉,黙想 の 谷 ぐんぐん と 黄葉 せり
青田,大粒 の 雨 降る 青田 母 の 故郷
雪,雪 の 上 鶏 あつまり て くらく なる
年 新た,を の こ 子 の 小さき あぐら 年 新た
蜜柑,香 ぐはしき 転生 一 顆蜜 柑受 く
夏,妻 が 病む 夏 俎板 に 微塵 の 疵
蝶,蝶 迅 し 潟 干拓 の 大 環 に
去年 今年,去年 今年 一 と 擦り に 噴く マッチ の 火
ハンカチ,ハンカチ を い ちまい 干し て 静か な 空
かまくら,睫毛 は 蕊 かまくら の 中 あかあか と
藁,野 は 北 へ 牛 ほど 藁 焼き 焦がし
桃,桃 馥郁 病む 辺 も 風 の 通りみち
冬 川,仰向け に 冬 川流れ 無一物
雪 降る,密林 の ごとく 雪 降る 火 の 捨て 場
佞武 多,混沌 の 夜 の 底 ぢ から 佞武 多 引く
吹雪,犬 一 匹 町 も 野中 の 吹雪 ざま
吹雪,母子 見え 夜明け の やう に 吹雪 熄 む
露,病む 母 の ひら が な ことば 露 の 音
鷹,鷹 ゆ けり 風 が あふれ て 野 積み 藁
雪,雪 しろ の 本流 に 入る 水 ゑくぼ
父 の 日,父 の 日 の 橋 に 燈 点る 船 の やう
枯,埴 色 に 枯れ 永 ら へ て 柏 の 葉 は
白鳥,白鳥 の 黒豆 粒 の 瞳 を 憐れむ
蜥蜴,蜥蜴 の 沢 に 隠れ 身 を 又 光る
雪,雪 後 にて 金環 の 眼 の 鯔 あがる
氷 面,葦 折れ ず 氷 面 解け がたし 父祖 の 野 は
鮭,風 三 日銀 一身 の 鮭 届く
紫陽花,紫陽花 の 紫紺 を つくし 竜 飛岬
かぶら,ひかり 降り 雨 ふる 墾 の 赤 かぶら
穂 田,穂 田 満たし 空 も 流る る 最上川
春暁,ねむる 子 に 北 の 春暁 すみれ色
法師 蟬,お ほ ぜ い の それぞれ ひとり 法師 蟬
餅,雪国 に この 空 の 青 餅 の 肌
きさらぎ,きさらぎ の 雪 の 羽毛 を 被 て 妻 よ
佞武 多,八雲 立ち とどろき わたる 佞武 多 か な
唐黍,鯉 ほど の 唐黍 を もぎ 故郷 なり
雪,百 歳 の 彼方 は 雪 の 野 づら か な
早苗 饗,早苗 饗 の あ いやあ いや と 津軽 唄
日 盛,腰 太き 南部 日 盛 農 婦 か な
しし うど,しし うど や 金剛不壊 の 嶺 のか ず
十 三 夜,墨 磨 すれ ば 墨 の 声 し て 十 三 夜
蜆,寒中 の 紫 蜆 寸志 と す
わらび,雄 の 馬 の かぐろき 股間 わらび 萌 ゆ
林檎 の 花,横顔 は 十 に 七つ や 花 林檎
玫瑰 の 実,昨日今日 明日 赤 々 と 実 玫瑰
熊手,大 熊手 小 熊手 を し て 万 の 素手
成人 の 日,成人の日 を くろがね の ラツセル 車
風花,風花 の こそばゆく 降る 髪 膚 か な
滝,白光 の 天上天下 那智 の 滝
秋 の 山,土偶 みな 寝 に 帰り たき 秋 の 山
とろろ 汁,妻 老い て 母 の 如し や とろろ 汁
冬 の 磯,銃 さげ し 少年 匂 ふ 冬 の 磯
鰯雲,神 の 手 に やがて は 返す 鰯雲
菖蒲,戦 さ 知ら ぬ まま に 育てよ 菖蒲 の 日
落ち 椿,殺し たき 女 ある 夜 の 落ち 椿
春,われ に 向く 少女 の 銃 や 春 真昼
凍 雲,凍 雲 に 一筋 届く 煙 あり
氷柱,氷柱 垂れ 同じ 構 へ の 社宅 訪 ふ
仏 生 会,焼跡 の 天 の 広 さ よ 仏 生 会
月,月 を 見 て を り たる 父 の 論 す こと
蝶,とまり たる 蝶 の くら り と 風 を 受け
青 林檎,青 林檎 旅情 慰む べく も なく
鶏頭,鶏頭 の かむり の 紅 の 初々し
短き 日,ガラス 戸 に 額 を 当て て 短き 日
敦 公,離愁 と は 敦 公 が 今 鳴い て ゐる
鴨,鴨 流れ ゐる 湖 流 るる や
菠薐草,吾子 の 口 菠薐草 の みどり 染め
芍薬,父 の 魂 失せ 芍薬 の 上 に 蟻
晩夏,日々 勤め 晩夏 陸橋 人 に 従き
さくら 鍋,おそく 来 て 若者 一 人 さくら 鍋
小 春日,小 春日 の 母 の 心 に 父 住める
枯野,覚め て 又 同じ 枯野 の ハイウエイ
虚子 忌,二 た 昔 とも 昨日 と も 高 虚子 忌
かま つ か,かま つ か の ゆるみ そめ たる 紅 の 張り
松 納,夕 月 の 光 を 加 ふ 松 納
かな か な,かな か な や 森 は 鋼 の くら さ 持ち
秋 燕,草 に 音 立て ゝ 雨 来る 秋 燕
もの の 芽,もの の 芽 の ほ ぐる る 先 の 光り を り
秋雨,秋雨 に すぐ 潦 八 重 の 墓
花,花 の 色 白き を 濃し と いふ べ かり
菊,行き 違 ふ 手提 の 中 の 供養 菊
初 桜,人 は みな なに か に はげみ 初 桜
椿 寿 忌,椿 寿 忌 や わが 青春 の 稽古 会
神輿,ち ち は は も 神田 の 生れ 神輿 舁く
獺 祭 忌,獺 祭 忌 悪人 虚子 を 敬 ひ て
桜餅,雨 かしら 雪 かしら など 桜餅
秋,日 の さして を り て 秋めく 庭 の 草
枯菊,枯菊 を 焚き て 焰 に 花 の 色
囀,囀 の 一 羽 なれ ども よく ひびき
夕 桜,一片 の 落花 の あと の 夕 桜
紅葉,きらめき て 萍 紅葉 はじまり し
芦 の 花,芦 の 花 ここ に も 沼 の 暮し あり
供養 針,供養 針 に も 夕影 とい へる もの
盆 の 花,盆 の 花 か か へ て 歩く 畳 か な
柱 連 の 内,浅野川 ほとり の 宿 も 注連 の 内
白鳥,声 揃 へ たる 白鳥 の 同じ か ほ
秋 の 水,石 一つ 堰き て 綾なす 秋 の 水
凍 蝶,凍 蝶 の そのまま 月 の 夜 と なり し
落花,まつ すぐ に 落花 一 片 幹 つた ふ
薄氷,薄氷 の 吹か れ て 端 の 重 なれる
蜻蛉,蜻蛉 生る 池塘 の 水 の 昏 き より
花火,母 の 忌 の 花火 いくつ も 上り けり
花,重なり て 花 に も 色 の 濃き ところ
冬至 の 日,玲瓏 と わが 町 わたる 冬至 の 日
初 稽古,ま づ 拝む 窓 の 遠 富士 初 稽古
涼,師 の 墓 の うし ろ の 石 に 涼み けり
雪 下す,ねぶた 絵 の 女 が ひとり 雪 下す
いちじく,いちじく の 葉 蔭 に 遠く 耕せる
芒,くれ ゆく 芒 杣 負 ふ 婆 のみ 日当り て
こう ろ ぎ,こ ほろ ぎ に 寄り て 流る る 厨 水
鰯雲,こまかき 波 こまかき 波 天 に 鰯雲
さくら 散る,さくら 散り 檻 の 豹 より かるい 吐息
さぼ てん,さぼ てん の 楕円 へ ゆるやか な 午前
二 日,さわぐ 笹 二 日 の 日射し 入り みだれ
スキー,スキー 担ぐ おのおの 温き 家 を 出 て
春 の 暮,つなが れ て 牛 考へる 春 の 暮
春,ところどころ 水 光り つつ 春 と なる
芒,なびく 芒 の 穂 のみ 日 あたり 街道 昏 る
さくら,ひと ごこち つけ ば さくら が まつ さかり
桃 の 花,ふるさと に 残す 足 あと 桃 さかり
粉雪,意 に 満た ぬ 日々 に 粉雪 が ちらつけ リ
曼珠沙華,遠き より 見る 月明 のま ん じ ゆ さげ
蛾,蛾 の 微光 おのれ 昂り 母 寝 落つ
冬 の 金魚,階 のぼり きり 冬 の 金魚 の 尾鰭 みる
雁,街 昏れ て 雁 わたる 空 の こし おく
苗 を 植 う,笠 の うち 目 のみ 動き て 苗 を 植 う
寒し,寒き 馬 よぎる 夕べ の 鏡 店
寒,寒 の 闇 来 て 一 燈 に 入る 夜学 生
寒月 光,寒月 光 ゆれ ゆきなやむ 肥 車
寒 潮,寒 潮 へ ひと を 信じ て 鳴らす ギター
寒 入日,寒 入 日影 の ごと くに 物 はこば れ
カンナ,眼帯 の うち にて 炎 ゆる カンナ あり
山吹,眼帯 の 朝 一 眼 の 濃 山吹
パセリ,岩礁 に パセリ 一 片 若者 去る
復活 祭,顔 に 近づく 犬 の 涙 目 復活 祭
寒,輝る 波 の 玻璃 に ひび ける 寒 の 午後
芒,牛 ひき 出す 穂 薄 の 露 とび 散る 中
蛾,鏡面 の 貌 に とまる 蛾 旅 また 旅
鶏頭,鶏頭 の 一抹 の 朱 わが 生 に
春 の 暮,見え ぬ ところ に 水 湧き出 で て 春 の 暮
元日,元日 の 犬 の 憂鬱 硝子 越し
十 夜 粥,庫裏 に おとす 白髪 一筋 十 夜 粥
枯れ,枯れ しも の 等 伏 し 滝 音 を 自在 に す
枯山,枯山 の 奥 な ま なま と 滝 一筋
枯,枯蔓 の 切 尖 に 触れ 水 激 す
五月 富士,五月 富士 全 し 母 の 髪 白し
無花果,口中 で つぶす 無花果 母 の 手 経 て
寒 雀,工場 裏 朝 まだ 蒼き 寒 雀
七月,紺 着 流す 風樹 相 摶 つ 七月 の
蛾,山 の 蛾 が ふらす 銀粉 九月 果 つ
初湯,四 十 過 ぐ 底 浅き 湯 を 初湯 と し
山葵 田,子 が 出入り し て わさび 田 に 遠き 家
紫陽花,紫陽花 の 醸せる 暗 さ より の 雨
寒月 光,遮断 機 の 影身 を 下る 寒月 光
ヨット,若き 四肢 ふんだんに 使 ひ ヨット 出す
真菰,舟 容れ て 青き 真菰 の 水 昏 む
曼珠沙華,十 二 橋 の 一 橋 く ぐりまんじゆさげ
十 夜 粥,十 夜 粥 ぬくし 本堂 八 方 透き
十薬,十薬 に 一 点 の 雨 廃 工場
夏 白浪,女 三 人 の 背丈 こと なり 夏 白浪
松 の 芯,松 の 芯 顔 出す もの へ 夕日 の 紅
露,照り 昃 る 信濃 つらぬく 露 軌条
梅雨,畳 踏む 大足 うつす 梅雨 鏡
初日,新 聞受 まで の 素顔 に 初日 受 く
行く 春,人 ふくれ 水 ふくれ 春 終り たり
冬至,人 去 つて 冬至 の 夕日 樹 に 煙り
雁,人 等 臥 て 雁 の ぬく み が 空 を ゆく
茅花,水 に 映り 茅花 は 白し 死 は 徐々に
花,水 に 映る 花 の 克明 死 は そこ に
水仙,水仙 剪 る 錆び し 鋏 を 花 に 詫び
睡蓮,睡蓮 の 一花 の ため に 水 に 寄る
西日,西日 さし 入る 喪 の 家 の 皿 の 数
春 の 夕,石像 の 獅子 も しなやか 春 夕べ
初詣,石段 の 変ら ぬ 堅 さ 初詣
蜂,窓 近き 目覚め に 蜂 の 全 き 屍
大寒,大寒 の 屋根 の 歪み や 昼 の 酒
大寒,大寒 の 鏡 影 のみ よぎり たり
大寒,大寒 や 家 の ま はり の 溝 澄み て
枯木,滝 に のみ 日 が 射 し 昃 る 枯木 坂
菜種梅雨,昼 汽車 の ひと 日 の 空費 菜種梅雨
猪 おどし,猪 おどし あ つて あたり の 風 騒がし
枯蘆,底 に とどく 櫂 の 手ごたえ 葦 枯れ て
田 を 鋤く,田 を 鋤い て 牛 の 伏目 の 日 昏れ まで
梅雨,土 に 低く 黄 の 花咲 ける こと も 梅雨
冬 の 鵙,冬 鵙 の 目 の 張り 朝日 水 に 射す
枯菊,凍 菊 を 折り 焚く わ づか なる 生色
桃 の 花,桃 さくら 裏 木戸 の 風 昼 つめたし
桃,桃 の 木 へ 来 て 耕 牛 が ぬすみ 見 する
桃,桃 散る や 牛 が おどろく 目付 し て
多佳子 忌,燈台 の 白 染める 陽 よ 多佳子 の 忌
枯木,入日 急 遠目 の 馬 に 枯木 添 ふ
秋 深 む,濡れ し 櫂 真菰 なで ゆき 深 む 秋
焚火,八 十 の 母 の 焚火 の 勢い 立つ
白絣,飯 強し 母 の 着 給 ふ 白絣
浮寝 鳥,浮寝 鴨 の 濡れ 身 そのまま 夜 に 入る
浮寝 鳥,浮寝 鴨 薄 眼 　 入日 の 金 枯葦
楓 の 芽,楓 の 芽 豆腐 平ら に 煮 られ ゐ て
鴨,風 立て ば 鴨 の 浮き足 　 月 の 出 雨
春 嵐,母 の 視野 の なか の 起き伏し 春 嵐
雪,母 寝 ね て 雪 の 厨 に 皿 ひとつ
燕,母 生れ し 家 を 自在 や つばくらめ
十一月,貌 うつす 十一月 の 水 の 張り
春 の 暮,蜜 なめ て 黒 瞳 かがやく 春 の 暮
木の実,木の実 入れる まで ポケツト に 風 騒ぐ
蛍,目 を 大きく 螢 を み て は 深夜 の 母
新樹,夜 の 新樹 すこし の 酒 に 胸 さわぐ
さくら,夕 ざく ら どの 家 の 皿 も 雫 垂 り
浴衣,藍 浴衣 夜 風 自在 に 家 通る
祭,裏通り の 灯 まで ゆきつく 陶器 祭
裏白,裏白 の みどり の 仔細 　 老 あたらし
緑,緑 ゆるがす 風 ばかり なる 天城 越 え
揚羽蝶,緑蔭 の 濃き を 選り て は 揚羽 過 ぐ
青嵐,露天風呂 に 男 の 目鼻 　 青 あらし
春 疾風,玻璃 しばしば かがやき 震 ふ 春 疾風
燕,眩しけれ ば 燕 も 来 ず よ 石廊崎
金魚鉢,頸 すでに 老い て 金魚 を のぞきこむ
いちじく,いちじく に 母 の 拇指 たやすく 没す
草城 忌,この 冬 の 意外 な ぬく さ 草城 忌
さくら 散る,さくら 散り 水 に 遊べる 指 五 本
埋め 火,さぐり あつ 埋 火 ひとつ 母 寝 し 後
寒 の 滝,ひと 仰ぐ たび 殺気立つ 寒 の 滝
かな か な,ホテル は ともす 鳴く か な かな に 似合 ふ
ち ちろ,暗き より 出 でし ち ちろ を 暗き に 追 ふ
冬 の 鵙,一 本 の 白髪 おそろし 冬 の 鵙
元日,雨 こと に 壺 の ま はり の 暗い 元日
寒月 光,寒月 光背 後 見 ず とも 貨車 通る
菜の花,牛 に も 齢 湖 も 花 菜 の 黄 も 淡く
菜の花,牛 の 胴 花 菜 あかり の 湖 へ だ つ
たんぽぽ,荒天 の 海 に たんぽぽ 黄 を つ よむ
香水,香水 の 香 の 内側 に 安眠 す
菜の花,菜の花 に 日月 淡し 師 の 歿後
いちじく,雑念 満ち ゐ たり いちじく を 開き 食 ふ
熟柿,熟柿 掌 に 受 く 断り きれ なく て
桜,硝子 器 重し 曇天 に 桜 満ち
月,信濃 全 山 十一月 の 月 照らす
青 蜜柑,青 蜜柑 横目 の 牛 が 通り けり
朝 桜,朝 桜 夜桜 わが家 へ の 近道
霰,白 飯 に 飢 ゑし は 昔 霰 は ね
春 の 暮,薄紙 も 炎 と なり ぬ 春 の 暮
寒椿,父 も 夫 も 師 も あら ぬ 世 の 寒椿
葡萄 棚,葡萄 棚 の 濃き 影 ぶどう 採り し あと
風花,風花 や 亡き 師 の 言葉 片々 と
冬木,壁 鏡 冬木 が 遠く 身 震 ひする
蜜柑 山,蜜柑 山女 の 肌 に 血肉 満ち
冬 田,洋傘 の 裡 のみ 紅し 冬 田 ゆく
立春,立春 の 海 より の 風 海 見え ず
秋 夕 焼,爼 に 流す 血 黒し 秋 夕 焼
薔薇,薔薇 挿せ ども 空 瓶 に なほ 洋酒 の 香
春 の 暮,鮨 くう て 皿 の 残れる 春 の 暮
鳰,鳰 遠く 花 浮く 水 が ある ばかり
稲光,い なびか り 夜 に 入る 幹 の 直立 し
弥生,きさらぎ を ぬけ て 弥生 へ もの の 影
春 の 水,くるぶし の 際 ぬけ て ゆく 春 の 水
鮎 料理,さかのぼる 川波 の 耀 り 鮎 料理
早苗,そよぎ だす 早苗 田 の 青 昼 鏡
牡蠣 料理,ナプキン の 角 に 日 あたり 牡蠣 料理
蝸牛,ねむり つぎ 薄日 ふたたび 蝸牛
冬,一隅 に 冬 の 匂 ひ の 乱れ 籠
盆,一族 の なか に きらめき 盆 の 水
緑,羽ばたき の あと さ みどり の 潦
冬 に 入る,羽ばたき の 音 を かさね て 冬 に 入る
水田,駅 の 灯 が 映る 水田 の 人 往来
炎 昼,炎 える 昼 牛 小屋 まで の 水 こぼす
炎天,炎天 に 一樹 の 影 の 地 を 移る
炎天,炎天 に 山風 の 香 や 吉野口
稲 の 花,遠く ほど 光る 単線 稲 の 花
蕗の薹,遠く 去る もの へ 風 吹き 蕗の薹
案山子,遠山 も 風 の 案山子 も 伊賀 の うち
村芝居,果てる ころ 月明 と なる 村芝居
浮寝 鳥,茄 で 卵 むけ ば 日向 に 浮寝 鳥
走り 梅雨,蓋 もの の なか の 佃煮 走り 梅雨
薄氷,覚め 際 の 身 に 張りつめる 薄氷
刈田,刈田 ゆく 袖 を 四角 に 紺絣
冬 苺,鏡面 を 夜 の 影 は しり 冬 苺
鳰,金泥 の 水 の 落日 鳰 くぐる
土用波,空 瓶 の ぬくもり 浚 ふ 土用波
土用波,茎 さして ガラス瓶 透く 土用波
月,月 浴び て 歯 の 根 を あ は す 水 の 上
三鬼 の 忌,軒 借り の ひと に 傘 貸す 三 鬼 の 忌
萩,庫裡 の 戸 の あけ たて の 音 夕 の 萩
鴨,湖 の 芥 に 添う て 流れる 鴨 の 羽
木の実,降る 木の実 水中 半ば まで 見え て
祭 囃子,祭 囃子 山 杉 覆 ふ 村 を 出 て
稲 雀,思は ぬ ところ から 湧く 雨 の 稲 雀
萩,寺 を 出 て 萩 に 片 よる 水 の 音
五月闇,寺門 しめ 幾重 も つくる 五月闇
寒 の 暮,耳 門 より 細身 の 出入り 寒 の 暮
七夕,七夕 や 雨 たしかめる 片手 出す
寒 日和,手 を 摶 つて 粉 はら ふ 昼 寒 日和
桜 蘂,手拍子 や 水 に 降り こむ 桜 蘂
冬日,呪文 とけ 冬日 の 亀 が 歩き 出す
秋 の 沼,樹 は みどり 深く 沈め て 秋 の 沼
秋 の 水,秋水 や 鯉 の ねむり は 眼 の はり て
秋 曇,秋 曇 の 目 の 前 に ある 松 の 幹
秋 の 日,秋 日射し 杉 の 匂 ひ の 厠 紙
鯊,舟 影 に 芥 を はこび 鯊 の 潮
春 の 土,春 の 土 荒れ て 筋 ひく 竹 箒
初午,初午 や 物音 ひびく 部屋 の 壁
秋 終る,上手 より 馬 あら はれ て 秋 終る
九月,城 趾 に 鎖 を 重ら し 九月 逝く
種 売り,常 着 で 佇つ 種苗 店 の 夕 あかり
冬,信心 の むれ に しばらく 冬 の 煤
土用波,新聞紙 畳 に ふか れ 土用波
枯芦,真向 の 芦 の 枯れ ざま 舞扇
寒 の 山,神前 に 日だまり が あり 寒 の 山
霰,神 燈 の 真下 の くら さ 夕 霰
厄 詣り,人 の 手 に 焔 みじかく 厄 詣り
豊年,人声 や 豊年 の 臼 裏庭 に
梅雨,水 に 灯 を のこし 扉 おろす 梅雨 館
秋,水 汲ん で 水 を 動かす 山 の 秋
蝸牛,水 逝く と て の ひらに のる 蝸牛
蟬,水面 に 油 紋 の みどり 蟬 の 昼
山 眠る,生きもの の 音 を たしかめ 山 眠る
雪 煙り,雪 煙り の なか に 獣 の うし ろ 脚
雪 晴れ,雪 晴れ の 水 が ふくれ て 夕景 色
綿 虫,雪 虫 の ただ よ ふ 日暮 手 の あそぶ
冬 の 浪,全景 の 宿 の 絵葉書 冬 の 浪
花,僧 の 頭 の なかなか 消え ぬ 花 月夜
春 の 暮,窓 を 出 て シヨパン の 高貴 春 の 暮
春 の 暮,総毛立つ 紙 の 手 ざはり 春 の 暮
月,草 な びく 月 も 虚空 に 吹か れ 出 て
蓮,足許 の 闇 に 音 たて 池 の 蓮
氷 店,村 まで の 道 一筋 の 氷 店
土用 丑,待つ ひま を 川面 み て ゐる 土用 丑
紅葉山,大津絵 の 鬼 が 手 を 拍 つ 紅葉山
芒,誰彼 の 声 の やさしく 花 芒
短 日,短 日 の 楽屋 を 走り ぬける 音
蜂,茶屋 の 昼 柱時計 を 蜂 が 打つ
冬 の 山,中腹 に 道 の 岐 れる 冬 の 山
朝 ぐもり,朝 ぐもり 水面 に 触れ て 虫 の とぶ
朝顔,朝顔 や 母 の 白地 は 蔵 の なか
秋 の 山,頂上 に 来 て その 先 に 秋 の 山
芒,頂上 の 薄 に 乾び 鳥 の 糞
二 日,庭 隅 の 幹 に 日 の ある 二 日 か な
夏 大根,轍 また 深み に はいり 夏 大根
針供養,天井 に 日 の 斑 ゆらめく 針供養
田 水,電柱 の かたむき 映り 夕田 水
青山 中,電柱 の 昼 の さびしさ 青山 中
朝 の 霜,塗り 膳 を 土蔵 より 出す 朝 の 霜
冬 麗,冬 麗 の まんなか に ある 床柱
凍,凍 の 夜 の はじまる 兆し 軒 の 繩
雪,燈明 の ひとりでに 消え 雪 の 昼
初詣,道 いつか 平らか に なり 初詣
白露,二 階 から 声 の し て ゐる 白露 の 日
冬 の 金魚,二 階 踏む 昼 の 足音 冬 金魚
梅雨,肉親 に 重なり あう て 梅雨 の 山
日覆,日覆 の はためき つづけ 午後 の 波
萩,萩 こぼれ 雲 を はしらす 桶 の 水
日 雷,白紙 より 湧く 影 の あり 日 雷
蛇 の 衣,白昼 の 風 ふき か はる 蛇 の 衣
簾,薄 瞼 簾 の 風 が 白湯 さ ます
新 豆腐,箱 階段 下りる 足音 新 豆腐
柚子,板の間 に 柚子 の 艶 おく 留守 の 家
青 簾,晩年 の 月日 聳える 青 簾
枇杷 の 種,枇杷 種 に 遠い 灯 が つき 老 夫妻
苗木 売り,苗木 売り 夕餉 の 灯 色 遠く 見 て
浮巣,浮巣 まで 竿 の とどか ぬ 夕 水 輪
麦畑,仏 飯 の 湯気 麦畑 に 日 が あたり
秋 す だれ,母屋 の 灯 よぎる 人影 秋 す だれ
花,庖丁 の 出 を 待つ ひかり 花 の 昼
